epoch,phase,loss,iou,dice,pixel_acc,precision,recall,f1,lr,elapsed_s
1,train,0.325914,0.548412,0.685131,0.883455,0.714267,0.750244,0.725626,0.0009984602081996976,350.37
1,val,0.234829,0.620529,0.748849,0.919017,0.77863,0.801475,0.788581,0.0009984602081996976,350.37
2,train,0.233747,0.634933,0.759739,0.920749,0.803494,0.801221,0.798949,0.0009938503261272714,350.59
2,val,0.22231,0.635917,0.756617,0.926564,0.817389,0.78524,0.797726,0.0009938503261272714,350.59
3,train,0.213321,0.66273,0.781327,0.928477,0.824918,0.816631,0.818362,0.0009861987752386395,356.3
3,val,0.199402,0.674181,0.791268,0.936416,0.878227,0.774029,0.821945,0.0009861987752386395,356.3
4,train,0.205526,0.675213,0.791489,0.931253,0.832667,0.822587,0.825307,0.0009755527298894294,347.9
4,val,0.187252,0.693339,0.806834,0.938177,0.852092,0.819936,0.834982,0.0009755527298894294,347.9
5,train,0.197373,0.687108,0.800013,0.934487,0.839546,0.831588,0.83381,0.0009619778264893878,312.47
5,val,0.183048,0.697235,0.808419,0.941071,0.87839,0.804379,0.839202,0.0009619778264893878,312.47
6,train,0.188842,0.697181,0.808025,0.937061,0.846124,0.837091,0.840227,0.0009455577588320898,295.22
6,val,0.178064,0.701526,0.810006,0.940309,0.830419,0.863109,0.845905,0.0009455577588320898,295.22
7,train,0.184977,0.703284,0.812353,0.93874,0.851506,0.840397,0.844426,0.0009263937620948692,294.53
7,val,0.171273,0.716913,0.822837,0.944224,0.868069,0.836049,0.851179,0.0009263937620948692,294.53
8,train,0.179674,0.712736,0.81972,0.940631,0.855395,0.845434,0.849149,0.0009046039886902864,292.86
8,val,0.16899,0.715967,0.821235,0.944705,0.871831,0.833611,0.851912,0.0009046039886902864,292.86
9,train,0.175031,0.71754,0.822682,0.942225,0.86009,0.849044,0.85326,0.0008803227798172156,317.22
9,val,0.168431,0.721049,0.826099,0.945457,0.873153,0.834837,0.853242,0.0008803227798172156,317.22
10,train,0.170853,0.722621,0.827203,0.943236,0.862078,0.851245,0.855607,0.0008536998372026805,403.35
10,val,0.162242,0.732521,0.834347,0.947252,0.872175,0.849823,0.860433,0.0008536998372026805,403.35
11,train,0.176372,0.719093,0.82436,0.942136,0.860331,0.847098,0.852396,0.0009972636867364526,556.2
11,val,0.170433,0.719583,0.824977,0.945836,0.883488,0.825572,0.853053,0.0009972636867364526,556.2
12,train,0.166508,0.734578,0.836068,0.945182,0.867071,0.857197,0.861011,0.000989084726566536,434.65
12,val,0.154906,0.74435,0.842851,0.949564,0.879835,0.853733,0.86618,0.000989084726566536,434.65
13,train,0.159774,0.741095,0.840852,0.947083,0.872675,0.861244,0.86605,0.0009755527298894295,435.43
13,val,0.149105,0.753637,0.850051,0.950572,0.857797,0.889043,0.872823,0.0009755527298894295,435.43
14,train,0.150233,0.751706,0.84787,0.949707,0.87794,0.868676,0.872599,0.0009568159560924792,443.59
14,val,0.146683,0.750048,0.844873,0.952174,0.869102,0.882819,0.875561,0.0009568159560924792,443.59
15,train,0.146831,0.759334,0.854247,0.950902,0.88056,0.872491,0.875918,0.0009330796891903274,438.34
15,val,0.142063,0.763414,0.856817,0.952975,0.873969,0.88185,0.877558,0.0009330796891903274,438.34
16,train,0.143449,0.761995,0.856179,0.951642,0.882207,0.874211,0.87752,0.0009046039886902865,437.14
16,val,0.134986,0.770824,0.862208,0.955642,0.899587,0.865886,0.882084,0.0009046039886902865,437.14
17,train,0.139391,0.768093,0.860839,0.952886,0.885358,0.877203,0.880707,0.0008717008403259585,450.11
17,val,0.138813,0.764338,0.856536,0.954844,0.889994,0.87213,0.880644,0.0008717008403259585,450.11
18,train,0.1354,0.774298,0.865543,0.953918,0.887445,0.880273,0.883271,0.0008347307378762498,446.78
18,val,0.133149,0.773664,0.864437,0.955807,0.893619,0.874064,0.883463,0.0008347307378762498,446.78
19,train,0.131267,0.778991,0.868807,0.955058,0.89016,0.882976,0.886138,0.0007940987335200904,445.95
19,val,0.131565,0.7779,0.867556,0.955557,0.884591,0.884443,0.884235,0.0007940987335200904,445.95
20,train,0.128639,0.782792,0.87191,0.9557,0.892486,0.884647,0.888175,0.00075025,451.44
20,val,0.135569,0.77157,0.861234,0.956537,0.902555,0.866653,0.883974,0.00075025,451.44
21,train,0.127057,0.784294,0.872145,0.956502,0.892836,0.887369,0.889695,0.0007036649532163624,579.85
21,val,0.130562,0.780237,0.867824,0.956585,0.884825,0.889764,0.886973,0.0007036649532163624,579.85
22,train,0.124836,0.788712,0.875518,0.956814,0.894523,0.887672,0.890723,0.0006548539886902864,706.94
22,val,0.127987,0.780961,0.867778,0.957627,0.893905,0.884519,0.888914,0.0006548539886902864,706.94
23,train,0.12181,0.792276,0.878284,0.957793,0.8963,0.890686,0.893178,0.0006043518895634709,675.49
23,val,0.129314,0.778633,0.865521,0.957678,0.892835,0.886424,0.889373,0.0006043518895634709,675.49
24,train,0.120705,0.795361,0.880125,0.958339,0.898005,0.891976,0.894677,0.0005527119674021931,623.66
24,val,0.134576,0.776794,0.863602,0.956328,0.882584,0.888179,0.884407,0.0005527119674021931,623.66
25,train,0.118018,0.798379,0.882584,0.959053,0.899698,0.894052,0.896628,0.0005005000000000002,593.49
25,val,0.129634,0.784874,0.869863,0.959151,0.901805,0.883608,0.892356,0.0005005000000000002,593.49
26,train,0.116567,0.799713,0.883089,0.959487,0.900464,0.895584,0.897807,0.00044828803259780724,594.94
26,val,0.124472,0.78407,0.868971,0.958832,0.898659,0.886402,0.89216,0.00044828803259780724,594.94
27,train,0.114432,0.802981,0.885517,0.959953,0.901943,0.896545,0.899016,0.0003966481104365292,655.47
27,val,0.127549,0.785088,0.869932,0.959075,0.898985,0.886802,0.892616,0.0003966481104365292,655.47
28,train,0.112493,0.806491,0.888435,0.960496,0.903434,0.897862,0.900447,0.00034614601130971383,680.83
28,val,0.127118,0.783754,0.868047,0.959331,0.91069,0.874232,0.891854,0.00034614601130971383,680.83
29,train,0.111854,0.807862,0.889213,0.96091,0.904053,0.898466,0.901038,0.00029733504678363786,462.45
29,val,0.125697,0.78589,0.870157,0.959562,0.89988,0.888292,0.893808,0.00029733504678363786,462.45
30,train,0.110536,0.809499,0.890478,0.96106,0.90428,0.899133,0.901491,0.00025075000000000016,441.67
30,val,0.121433,0.791703,0.874973,0.96018,0.901091,0.891069,0.895832,0.00025075000000000016,441.67
31,train,0.109238,0.811542,0.891924,0.961545,0.905563,0.90016,0.90262,0.00020690126647990976,484.7
31,val,0.123648,0.78805,0.871477,0.960051,0.903846,0.886742,0.894959,0.00020690126647990976,484.7
32,train,0.108035,0.812468,0.892156,0.961903,0.905822,0.901893,0.903695,0.0001662692621237505,435.73
32,val,0.120001,0.79238,0.875684,0.960276,0.902215,0.890295,0.895991,0.0001662692621237505,435.73
33,train,0.106846,0.815162,0.894531,0.96207,0.907176,0.901418,0.90413,0.00012929915967404166,434.92
33,val,0.120939,0.791821,0.874323,0.960691,0.903208,0.891211,0.896893,0.00012929915967404166,434.92
34,train,0.105644,0.81644,0.895525,0.962416,0.907676,0.902575,0.904989,9.639601130971383e-05,436.04
34,val,0.118469,0.79387,0.876213,0.960454,0.89877,0.895725,0.896958,9.639601130971383e-05,436.04
35,train,0.105006,0.817348,0.895945,0.962655,0.908423,0.903133,0.905657,6.792031080967288e-05,435.12
35,val,0.119237,0.793975,0.876612,0.96057,0.904818,0.888963,0.896596,6.792031080967288e-05,435.12
36,train,0.104842,0.81751,0.896032,0.962759,0.908307,0.903697,0.905858,4.418404390752082e-05,435.22
36,val,0.118512,0.796016,0.878583,0.96073,0.89927,0.896534,0.897658,4.418404390752082e-05,435.22
37,train,0.104267,0.818578,0.896768,0.962911,0.9092,0.903607,0.90627,2.5447270110570814e-05,436.03
37,val,0.119091,0.794332,0.876829,0.960806,0.901552,0.894053,0.897565,2.5447270110570814e-05,436.03
38,train,0.10395,0.819243,0.897168,0.962824,0.908686,0.904083,0.906256,1.1915273433464061e-05,434.93
38,val,0.118701,0.794395,0.876235,0.961131,0.903858,0.893112,0.898222,1.1915273433464061e-05,434.93
39,train,0.103326,0.81947,0.897392,0.963045,0.909305,0.904111,0.906581,3.736313263547436e-06,435.66
39,val,0.118695,0.795069,0.877608,0.960857,0.903737,0.891672,0.897448,3.736313263547436e-06,435.66
40,train,0.103175,0.820401,0.898086,0.963076,0.908845,0.904876,0.906727,1e-06,472.4
40,val,0.117344,0.79669,0.879009,0.961036,0.902655,0.894013,0.898096,1e-06,472.4
